Category,Address,Municipality,Price,Tenant,Land Use,Land Area,Sub Type,Event Date,Vendor,Vendor Signing Officer,Vendor Address,Purchaser,Purchaser Signing Officer,Purchaser Address,Mortgage Type 1,Primary Lender 1,Secondary Lender 1,Tertiary Lender 1,Interest Rate 1,Principal Amount 1,Calculation Period 1,Payment Frequency 1,Payment Amount 1,Commencement Date 1,Maturity Date 1,Instrument Date 1,See Remarks 1,Mortgage Type 2,Primary Lender 2,Secondary Lender 2,Tertiary Lender 2,Interest Rate 2,Principal Amount 2,Calculation Period 2,Payment Frequency 2,Payment Amount 2,Commencement Date 2,Maturity Date 2,Instrument Date 2,See Remarks 2,Mortgage Type 3,Primary Lender 3,Secondary Lender 3,Tertiary Lender 3,Interest Rate 3,Principal Amount 3,Calculation Period 3,Payment Frequency 3,Payment Amount 3,Commencement Date 3,Maturity Date 3,Instrument Date 3,See Remarks 3,Mortgage Type 4,Primary Lender 4,Secondary Lender 4,Tertiary Lender 4,Interest Rate 4,Principal Amount 4,Calculation Period 4,Payment Frequency 4,Payment Amount 4,Commencement Date 4,Maturity Date 4,Instrument Date 4,See Remarks 4
Office,"Unit 900, 130 Queens Quay East",Old Toronto,"$2,154,400 ",Single Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary","Judy Lem, Secretary",2625085 Ontario Inc.  - User,"Peter B. Williamson, ASO","Suite 900, 130 Queens Quay East, Toronto, Ontario, M5A 0P6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 821, 130 Queens Quay East
Unit 813, 130 Queens Quay East",Old Toronto,"$1,424,800 ",Multi Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary", 130 - 132 Queens Quay East    -   2014-01-22,1957349 Ontario Ltd.  - Private Investor - Canadian,"Grace Ya Wen Lin, ASO","255 Byng Avenue, Toronto, Ontario, M2N 4L4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 1012, 130 Queens Quay East
Unit 1006, 130 Queens Quay East
Unit 1008, 130 Queens Quay East
Unit 1010, 130 Queens Quay East
Unit 1004, 130 Queens Quay East",Old Toronto,"$2,878,860 ",Multi Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary", 130 - 132 Queens Quay East    -   2014-01-22,Kanjul Holdings Ltd.  - User,"Anura Kanishkan Thevarajah and Julian Emmanuel, ASOs","130 Queens Quay East, Suite 1006, Toronto, Ontario, M5A 0P6",Subsequent,Business Development Bank of Canada,,,The Bank's Floating Base Rate plus 10.00% per annum,"$3,500,000.00 ",Monthly,Monthly,,,,11/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 512, 130 Queens Quay East",Old Toronto,"$1,367,350 ",Multi Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary", 132 Queens Quay East    -   2018-05-14,122K Investments Inc.  - User,"Gerald W. Kinasz, ASO","Suite 512, 130 Queens Quay East, Toronto, Ontario, M5A 0P6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,647 Davis Drive,Newmarket,"$1,000,000 ",Single Tenant,,,Medical Office Building,11/1/2018,An individual(s) acting in his/her own capacity,,"Tonino Salvatore Ciocca, ASO",Newmarket Dental Specialists (TC2 Corp.)  - User,"Tonino Salvatore Ciocca, ASO","647 Davis Drive, Newmarket, Ontario, L3Y 2R2",VTB,Vendor Financed,,,4.5% per annum,"$800,000.00 ",Semi-annually,Monthly,"$5,043.24 ",11/30/2018,10/31/2023,11/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,355 Church Street,Old Toronto,"$11,722,981 ",Single Tenant,,,,11/1/2018,Tridel (The Residences of Alter Inc.),"Len Gigliotti, Secretary", 355 Church Street    -   2015-05-05,United Way (Family Services Toronto)  - User,"Margaret Hancock and Terri Tucker, Executive Director and Board Chair","128A Sterling Road, Toronto, ON, M6R 2B7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,1061 McNicoll Avenue,Old Toronto,"$1,188,000 ",Multi Tenant,,,,11/1/2018,Daniel Gauvin Enterprises Inc.,"Daniel Gauvin, President","Daniel Gauvin, President",2659682 Ontario Inc.  - Private Investor - Canadian,"Xiao Pan, ASO","1061 McNicoll Avenue, Toronto, Ontario, M1W 3W6",Subsequent,Bank of Montreal,,,The Bank's Prime Rate plus 5.0% per annum,"$811,000.00 ",Monthly,,,,,11/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 1116, 130 Queens Quay East
Unit 1122, 130 Queens Quay East
Unit 1118, 130 Queens Quay East",Old Toronto,"$1,613,275 ",Multi Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary"," Unit 1116 & 1118, 130 Queens Quay East    -   2018-12-17",3M & G Investment Inc.  - Private Investor - Canadian,"Magdy Nashat and Gamil Youssef, ASO","3352 Hayhust Crescent, Oakville, Ontario, L6Y 0S1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 500, 130 Queens Quay East",Old Toronto,"$1,789,900 ",Single Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary","Judy Lem, Secretary",1866937 Alberta Ltd.  - User,"Lu Ming Chen, ASO","Suite 500, 130 Queens Quay East, Toronto, Ontario, M5A 0P6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 707, 130 Queens Quay East
Unit 705, 130 Queens Quay East
Unit 709, 130 Queens Quay East",Old Toronto,"$1,486,700 ",Multi Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary", 130 - 132 Queens Quay East    -   2014-01-22,1198930 Alberta Ltd.  - Private Investor - Canadian,"Shameela Karmali-Rawji, ASO","1401 Council Way Southwest, Calgary, Ontario, T2T 1X9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 617, 130 Queens Quay East
Unit 619, 130 Queens Quay East",Old Toronto,"$1,596,800 ",Single Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary","Judy Lem, Secretary",One One Ten Inc.  - User,"Jose Neto Tolovi, ASO","Suite 617 and 619, 130 Queens Quay East, Toronto, Ontario, M5A 0P6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,181 Lakeshore Road East,Mississauga,"$1,510,000 ",Multi Tenant,,,,11/1/2018,711721 Ontario Limited,"Helen Chrobak-Labanowicz, President","Helen Chrobak-Labanowicz, President",2152856 Ontario Inc.  - User,"Virgilio Luongo, ASO","63 Forest Avenue, Mississauga, Ontario, L5G 1L3",VTB,Vendor Financed,,,4.00%,"$1,000,000.00 ",Semi-annually,Monthly,"$3,333.33 ",12/1/2018,11/1/2021,11/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 819, 130 Queens Quay East",Old Toronto,"$1,355,575 ",Single Tenant,,,,11/1/2018,The Daniels Corporation (Daniels Waterfront Corporation),"Judy Lem, Secretary", 130 - 132 Queens Quay East    -   2014-01-22,Windward Ventures Inc.  - User,"Robert French, ASO","Suite 819, 130 Queens Quay East, Toronto, Ontario, M5A 0P6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 201, 220 Duncan Mill Road
Unit 202, 220 Duncan Mill Road
Unit 203, 220 Duncan Mill Road
Unit 204, 220 Duncan Mill Road
Unit 205, 220 Duncan Mill Road
Unit 219, 220 Duncan Mill Road
Unit 220, 220 Duncan Mill Road",Old Toronto,"$1,315,275 ",Single Tenant,,,,11/1/2018,Duncan Mills Investments Inc.,"Anthony Kroll, ASO","Anthony Kroll, ASO",New York Health Centre Inc.  - User,"Melissa Singer, Secretary/Treasurer","220 Duncan Mill Road, Suite 201, Toronto, Ontario, M3B 3J5",VTB,Vendor Financed,,,See Remarks,"$1,300,000.00 ",,,,,,11/1/2018,Interest is set at 3.5% per annum and for a term of one (1) year. There will be no payment of interest during the term of the loan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,751 Kennedy Road,Scarborough,"$1,178,400 ",Multi Tenant,,,,10/31/2018,1127353 Ontario Inc.,"Kamalini Balasundaram, President","Kamalini Balasundaram, President",Kennedy-Eglinton Animal Hospital (2656899 Ontario Limited)  - User,"Jayendrakumar Ranpariya, ASO","751 Kennedy Road, Scarborough, Ontario, M1K 2C7",Subsequent,Bank of Nova Scotia,,,The Bank's Prime Rate plus 6.0% per annum,"$1,178,400.00 ",,,,,,10/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,1063 McNicoll Avenue,Old Toronto,"$1,225,000 ",Multi Tenant,,,,10/31/2018,Daniel Gauvin Enterprises Inc.,"Daniel Gauvin, President","Daniel Gauvin, President",Healthmax Physio Inc.  - Private Investor - Canadian,"Hamidreza Mirzaesmaeeli, ASO","298 John Street, Suite No. 3, Thornhill, Ontario, L3T 5W4",Subsequent,Royal Bank of Canada,,,The Bank's Prime Rate plus 5.0% per annum,"$918,750.00 ",,,,,,10/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,874 Sinclair Road,Oakville,"$6,380,000 ",Multi Tenant,,,,10/30/2018,The TDL Group Corp.,"Chris Brigleb, Head of Finance",874 Sinclair Road,Post Scriptum Holdings Inc.  - User,"Carolyn Jane Cross, ASO","10 Maple Grove Drive, Unit 10, Oakville, Ontario, L6J 0E1",Subsequent,Owemanco Mortgage Holding Corporation,,,7.25%,"$4,200,000.00 ",Monthly,Monthly,"$25,375.00 ",12/1/2018,11/1/2019,10/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,524 Locust Street,Burlington,"$1,125,000 ",Single Tenant,,,,10/26/2018,WP Financial (2052230 Ontario Inc.),"Ilija Parojcic & George Watson, President & Partner","Ilija Parojcic & George Watson, President & Partner",Russell Industries Corp. (524 Locust Corp.)  - Private Investor - Canadian,"Daniel J. Russell, ASO","4248 Broughton Avenue, Niagara Falls, Ontario, L2E 3K6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"75 Luzon Avenue
77 Luzon Avenue",Markham,"$2,092,195 ",Multi Tenant,,,,10/26/2018,"TACC Developments (Box Grove North Inc.)
TACC Developments (Box Grove Hill Developments Inc.)","Silvio DeGasperis, ASO","Silvio DeGasperis, ASO",2656617 Ontario Inc.  - Private Investor - Canadian,"Rong Bing Sun, ASO","294 Copper Creek Drive, Markham, ON L6B 1N7",Subsequent,Bank of Montreal,,,The bank's prime rate plus 5.0% per annum,"$2,210,000.00 ",,,,,,10/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,515 Davenport Road,Old Toronto,"$2,200,000 ",Single Tenant,,,,10/25/2018,The Realstar Jam Corp.,"Joshua Silvertown, ASO", 515 Davenport Road    -   2012-11-30,Five Fifteen Davenport Limited  - User,"Philip Hastings and Valerie Gow, ASOs","515 Davenport Road, Toronto, ON, M4V 1B8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"1235 North Service Road West
1255 North Service Road West",Oakville,"$18,550,000 ",Multi Tenant,,,,10/12/2018,QuadReal Property Group (2748355 Canada Inc.),"Edward Lam and Jamie Manley, Director of Investments and Senior Vice President of Investments","Edward Lam and Jamie Manley, Director of Investments and Senior Vice President of Investments",Wafra Inc. (9380-3807 Quebec Inc.)  - Private Investor - Foreign,"Edward Ryan, ASO","c/o Wafra Inc., 345 Park Avenue, 41st Floor, New York, New York, 10154 Attention: Yvonne Compitello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"1235 North Service Road West
1275 North Service Road West",Oakville,"$33,560,000 ",Multi Tenant,,,,10/12/2018,QuadReal Property Group (2748355 Canada Inc.),"Edward Lam and Jamie Manley, Director of Investments and Senior Vice President of Investments","Edward Lam and Jamie Manley, Director of Investments and Senior Vice President of Investments",Wafra Inc. (9380-3807 Quebec Inc.)  - Private Investor - Foreign,"Edward Ryan, ASO","c/o Wafra Inc., 345 Park Avenue, 41st Floor, New York, New York, 10154 Attention: Yvonne Compitello",Subsequent,"National Bank of Kuwait, S.A.K.P., New York Branch",,,Floating Rate,"$33,865,000.00 ",,,,,,10/12/2018,This charge is also registered towards PIN No's 24866-0646 and 24866-0647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,115 Gordon Baker Road,North York,"$22,000,000 ",Single Tenant,,,,10/11/2018,Redcliff Realty Advisors (2228366 Ontario Ltd.),"Victor Lee & Stephen Harrington, President & Manager Investments", 115 Gordon Baker Road    -   2010-09-14,Unifor (Union Building Corporation of Canada)  - Private Investor - Canadian,"Alison Gould, ASO","205 Placer Court Toronto, Ontario, M5H 3H9",Subsequent,Canadian Imperial Bank of Commerce,,,Floating Rate,"$12,900,000.00 ",Monthly,Monthly,,,,10/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,268 Avenue Road,Old Toronto,"$2,700,000 ",Single Tenant,,,,10/10/2018,An individual(s) acting in his/her own capacity,, 268 Avenue Road    -   2019-01-24,1636616 Ontario Limited  - Private Investor - Canadian,"Robert S. Hart, ASO","067233 Side Road 4, Regional Road No. 1, Thornbury, Ontario, N0H 2P0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,207 Queen's Quay West,Old Toronto,"$261,000,000 ",Multi Tenant,,,,10/4/2018,Brookfield Properties (Queen's Quay (BOPC) Inc.),"Nga Trinh, Senior Vice-President, Investments", 207 Queen's Quay West    -   1997-11-05,"Northam Realty Advisors Limited (Northam (QQT) Holdings Limited (as to an undivided 50.0% interest))  - Public Investor - Canadian
iA Financial Group (10954594 Canada Inc. (as to an undivided 50.0% interest))  - Institution","Todd Copland & Mario Bedard, ASOs","c/o Northam Realty Advisors Limited, 2 Carlton Street, Suite 909, Toronto, Ontario, M5J 1J3",Subsequent,The Great West Life Assurance Company,,,3.665% per annum,"$65,625,000.00 ",Semi-annually,Monthly,"$198,916.24 ",12/1/2018,11/1/2024,10/4/2018,The Chargor of this Mortgage is: Northam (QQT) Holdings Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,290 Sheppard Avenue West,North York,"$1,850,000 ",Single Tenant,,,,9/28/2018,Ontario Superior Court of Justice,,"330 University Avenue, Toronto, ON, M5G 1R7",Realtel Management Corporation  - Private Investor - Canadian,"Wei Fu, ASO","62 Riverbend Road, Markham, Ontario, L3R 1K5",Subsequent,Home Trust Company,,,5.25% per annum,"$1,202,500.00 ",Semi-annually,Monthly,"$7,165.91 ",11/1/2018,10/1/2020,9/28/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,337 Magna Drive,Aurora,"$60,000,000 ",Single Tenant,,,,9/27/2018,Magna International Inc. (1207309 Ontario Inc.),"Lorne Kumer & Ilias Konstantopoulos, Vice President & Treasurer","Lorne Kumer & Ilias Konstantopoulos, Vice President & Treasurer",2561386 Ontario Inc.  - Private Investor - Canadian,"Jack Laurion, ASO","600 Cochrane Road, Suite 230, Markham, Ontario, L3R 5K3",Subsequent,Bank of China (Canada) (as to an undivided 76.19% interest),Keb Hana Bank Canada (as to an undivided 23.81% interest),,The bank's prime rate plus 5.0% per annum,"$42,000,000.00 ",Monthly,Monthly,,,,9/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,3195 Sheppard Avenue East,Scarborough,"$8,000,000 ",Multi Tenant,,,,9/27/2018,Daniel Executive (Canada) Holdings Corp.,"Cheng-Shing Chen, President and Director", 3195 Sheppard Avenue East    -   2003-05-23,Wanthome Commercial Management Inc.  - Private Investor - Canadian,"Jian Chao, ASO","3195 Sheppard Ave E, Toronto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 205, 2800 Skymark Avenue
Unit 206, 2800 Skymark Avenue",Mississauga,"$1,100,000 ",Multi Tenant,,,,9/24/2018,A.A. Tech Realty Inc.,"George Ziade, ASO","George Ziade, ASO",2649153 Ontario Inc  - Private Investor - Canadian,"Simardeep Kohli, ASO","Suite 216, 2985 Drew Road, Mississauga, Ontario, L4T 0A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,10 Milner Business Court,Scarborough,"$21,229,000 ",Multi Tenant,,,,9/20/2018,The Wynn Group (Wynn Family Properties GP Inc.),"Paul Wynn, ASOs", 10 Milner Business Court    -   2010-11-02,Timbercreek Asset Management (Timbercreek Four Quadrant GP 2 Inc.)  - Private Investor - Canadian,"Michael Tsourounis, ASO","25 Price Street, Toronto, ON, M4W 1Z1",Subsequent,First National Financial GP Corporation,,,Floating,"$116,670,000.00 ",Semi-annually,Monthly,"$2,430,625.00 ",11/1/2018,10/1/2021,9/20/2018,"The charge is also registered against PINs 11731-0029, 11731-0088, 11731-0089, 11731-0102, 11731-0106, 11731-0106, 11731-0110, 11731-0111, 21400-0003, 12786-0032, 12786-0033, 12786-0034, 12786-0529, 12786-0533, 12786-0536, 12786-0540, 12786-0541, 12786-0542, 12786-0543, 12786-0544, 12786-0545 and 12786-0546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 701, 135 Yorkville Avenue
Unit 702, 135 Yorkville Avenue
Unit 703, 135 Yorkville Avenue
Unit 704, 135 Yorkville Avenue
Unit 705, 135 Yorkville Avenue",Old Toronto,"$5,128,650 ",Multi Tenant,,,,9/18/2018,Camrost-Felcorp (Deca-Yorkville Building Group Inc.),"David Feldman, ASO","Unit 702, 135 Yorkville Avenue",Go Enterprise Inc.  - User,"Sherine Marzouk, ASO","135 Yorkville Avenue, Units 701-705, Toronto, Ontario, M5R 3N5",Subsequent,The Toronto-Dominion Bank,,,Not Available,"$3,864,750.00 ",,,On Demand,,,9/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 1101, 135 Yorkville Avenue
Unit 1102, 135 Yorkville Avenue
Unit 1103, 135 Yorkville Avenue
Unit 1104, 135 Yorkville Avenue
Unit 1105, 135 Yorkville Avenue
Unit 1106, 135 Yorkville Avenue",Old Toronto,"$1,468,080 ",Multi Tenant,,,,9/14/2018,Camrost-Felcorp (Deca-Yorkville Building Group Inc.),"David Feldman, ASO","Unit 1102, 135 Yorkville Avenue",R. Perry Management Ltd.  - User,"Robin Peerenboom, President","135 Yorkville Avenue, Units 1101, Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,"173 Madison Avenue
175 Madison Avenue",Old Toronto,"$4,921,000 ",,,,Low Rise Apartment,8/2/2019,2501397 Ontario Limited,"Kaniz Begum, ASO",,2677421 Ontario Inc.  - Private Investor - Canadian,"Saroj Jain, ASO","102 Bloor Street West, Unit 809, Toronto, Ontario, M5S 1M8",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal prime rate + 5.8% per annum,"$2,700,000.00 ",Monthly,,,,,8/2/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,25 George Street,Aurora,"$1,850,000 ",,,,Low Rise Apartment,7/30/2019,Project Hostel,"Rehana Doobay, Board President","52 West Beaver Creek Road, Unit 4, Richmond Hill, Ontario, L4B 1L9",2300485 Ontario Inc.  - Private Investor - Canadian,"Gil Shcolyar, ASO","261 Arnold Avenue, Thornhill, Ontario, L4J 1C3",Subsequent,An individual(s) acting in his/her own capacity,,,8.50%,"$1,387,500.00 ",Monthly,Monthly,"$9,828.13 ",8/30/2019,7/30/2021,7/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,289 Birmingham Street,Etobicoke,"$1,300,000 ",,,,Low Rise Apartment,7/26/2019,An individual(s) acting in his/her own capacity,,"Malcolm Jastrebski, ASO",289 Birmingham Ltd.  - Private Investor - Canadian,"Malcolm Jastrebski, ASO","66 Wellington Street West, Unit 4100, Toronto, Ontario, M5K 1B7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,11 Cannon Road,Etobicoke,"$2,045,000 ",,,,Low Rise Apartment,7/26/2019,An individual(s) acting in his/her own capacity,,"Malcolm Jastrebski, ASO",11 Cannon Ltd.  - Private Investor - Canadian,"Malcolm Jastrebski, ASO","4100 - 66 Wellington Street West, Toronto, Ontario, M5K 1B7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,210 Carlton Street,Old Toronto,"$1,975,000 ",,,,Low Rise Apartment,7/25/2019,Alminede Investments Limited,"Neal Oksenberg, ASO","317 Adelaide Street West, Suite 1001, Toronto, Ontario, M5V 1P9",W & D Global Inc.  - Private Investor - Canadian,"Paul Iyogun, ASO","2045 Lake Shore Boulevard West, Suite 2805, Toronto, Ontario, M8V 2Z6",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal's Prime Rate plus 5.00%,"$2,000,000.00 ",Monthly,,,,,7/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,151 Dunn Avenue,Old Toronto,"$2,973,000 ",,,,Low Rise Apartment,7/25/2019,An individual(s) acting in his/her own capacity,, 151 Dunn Avenue    -   2016-07-11,2692206 Ontario Inc.  - Private Investor - Canadian,"Duc Tuan Pham, ASO","47 Herne Hill, Toronto, Ontario, M9A 2W9",VTB,Vendor Financed,,,5%,"$250,000.00 ",Monthly,Monthly,"$1,021.67 ",8/25/2019,7/25/2022,7/25/2019,,Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal's Prime Rate plus 5.00%,"$1,750,000.00 ",Monthly,,,,,7/25/2109,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,414 Dundas Street East,Old Toronto,"$1,770,000 ",,,,Low Rise Apartment,7/22/2019,An individual(s) acting in his/her own capacity,,"Paul Iyogun, President",W & D Global Inc.  - Private Investor - Canadian,"Paul Iyogun, President","2045 Lakeshore Boulevard West, Suite 2045, Toronto, Ontario, M8V 2Z6",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal's Prime Rate plus 5% per annum,"$1,500,000.00 ",Monthly,,,,,7/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,330 Buena Vista Avenue,Oshawa,"$1,060,000 ",,,,Low Rise Apartment,7/19/2019,An individual(s) acting in his/her own capacity,,"Dhaniram Bhagwandin, President",2702009 Ontario Corp.  - Private Investor - Canadian,"Dhaniram Bhagwandin, President","22 South Edgely Avenue, Toronto, Ontario, M1N 3K8",Subsequent,Computershare Trust Company of Canada,,,3.88%,"$624,120.00 ",Semi-annually,Monthly,"$2,926.00 ",9/1/2019,12/1/2024,7/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,"2076 Meadowbrook Road
2086 Meadowbrook Road
2090 Meadowbrooke Road
2092 Meadowbrook Road",Burlington,"$8,075,000 ",,,,Townhomes,7/15/2019,"1906452 Ontario Limited
1053052 Ontario Inc.","George Bouzianis, President", 2076 & 2086 Meadowbrook Drive    -   2014-06-30,First Rock Properties Ltd.  - Private Investor - Canadian,"Kartik Ganatra, ASO","17 Main Street North, P.O. Box 1396, Waterdown, Ontario, L0R 2H0",Subsequent - Demand Debenture,Bank of Montreal,,,15% per annum,"$2,000,000.00 ",,,,,,7/15/2019,,Subsequent - Demand Debenture,Bank of Montreal,,,15% per annum,"$6,000,000.00 ",,,,,,7/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,4110 Bathurst Street,North York,"$3,500,000 ",,,,Low Rise Apartment,7/10/2019,Ber-Glatt Investments Limited,"Anthony Ian Dayton, ASO","107 Edmund Seagar Drive, Thornhill, ON, L4J 4S5",Hannah Real Estate Group (940412 Ontario Ltd.)  - Private Investor - Canadian,"Aubrey Hannah, ASO","40 Wynford Drive, Suite 316, Toronto, ON, M3C 1J5",VTB,Vendor Financed,,,5.0% per annum,"$2,000,000.00 ",Monthly,Monthly,"$8,333.34 ",8/10/2019,10/10/2019,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,537 Broadview Avenue,Old Toronto,"$2,500,000 ",,,,Low Rise Apartment,7/8/2019,Fitzpatrick Custom Homes Inc.,"Matthew Fitzpatrick, ASO","15541 Innis Lake Road, Caledon, Ontario, L7C 3A1",Kanitz Properties Ltd.  - Private Investor - Canadian,"Linda Kanitz, ASO","61 Mathersfield Drive, Toronto, Ontario, M4W 3W4",Subsequent,Corwin Mortgage Capital Inc.,,,8.25% per annum,"$1,625,000.00 ",Monthly,Monthly,"$11,171.88 ",9/1/2019,8/1/2020,7/8/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,360 City Centre Drive,Mississauga,"$61,345,826 ",,,,Affordable Housing,7/5/2019,Daniels Corporation (Daniels CCW Corporation),"Judy Lem, Secretary","130 Queens Quay East, 8th floor, Toronto, Ontario, M5A 0P6",The Regional Municipality of Peel (The Regional Municipality of Peel)  - Government,"Nicole Kling, ASO","10 Peel Centre Drive, Brampton, Ontario, L6T 4B9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,946 Masson Street,Oshawa,"$1,660,000 ",,,,Low Rise Apartment,7/4/2019,Breda Const. Inc.,"Giuseppe Perillo, President","932 William Booth Crescent, Oshawa, Ontario, L1G 7N4",An individual(s) acting in his/her own capacity   ,,,Subsequent,CIBC Mortgages Inc.,,,3.78%,"$825,000.00 ",Semi-annually,Monthly,"$4,241.84 ",9/1/2019,8/1/2021,7/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,96 Springhurst Avenue,Old Toronto,"$1,759,000 ",,,,Low Rise Apartment,7/4/2019,An individual(s) acting in his/her own capacity,,"Dino Collini, ASO",2700751 Ontario Limited  - Private Investor - Canadian,"Dino Collini, ASO","923 Oxford Street, Toronto, Ontario, M8Z 5T3",Subsequent,Royal Bank of Canada,,,2.89% per annum,"$1,407,200.00 ",Semi-annually,Monthly,"$6,580.35 ",8/4/2019,7/4/2023,7/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
